,_id,CARI_YN,mig_categ,CARI
0,177681082,0,0,2
1,177681079,0,1,1
2,177681078,0,1,2
3,177680856,0,0,2
4,177680851,0,0,1
5,177680848,0,0,1
6,177680827,0,0,1
7,177680770,0,0,1
8,177680764,0,,1
9,177680761,0,0,1
10,177680758,0,0,1
11,177680717,0,1,2
12,177680714,0,2,1
13,177680708,0,0,2
14,177680706,0,0,1
15,177590228,0,0,1
16,177590225,0,0,1
17,177590224,0,0,2
18,177590221,0,1,2
19,177572662,1,0,3
20,177572661,0,0,1
21,177572660,0,1,1
22,177572659,0,0,1
23,177572657,0,1,2
24,177572593,0,1,1
25,177572591,0,1,2
26,177571310,0,0,2
27,177571307,0,0,2
28,177571306,0,,2
29,177571305,0,1,1
30,177571299,0,,2
31,177571287,0,1,2
32,177571284,0,3,2
33,177571127,0,0,1
34,177571124,0,0,2
35,177571122,0,0,1
36,177570884,0,0,1
37,177570883,0,0,1
38,177568537,0,0,1
39,177568536,0,1,2
40,177568535,0,1,2
41,177568534,0,1,1
42,177568509,0,1,1
43,177568508,0,0,1
44,177568504,0,1,1
45,177568503,0,0,1
46,177568496,0,0,1
47,177568494,0,0,1
48,177568492,0,1,1
49,177568489,0,0,2
50,177568377,0,0,2
51,177568375,0,,2
52,177568373,0,1,1
53,177568371,0,0,2
54,177568367,0,1,2
55,177568161,0,1,1
56,177568159,0,0,1
57,177568156,0,0,1
58,177567926,0,0,1
59,177567924,0,0,1
60,177567918,0,1,1
61,177567904,0,1,1
62,177567901,0,1,2
63,177567896,0,0,2
64,177567895,0,0,2
65,177567822,0,0,1
66,177567820,0,0,2
67,177567819,0,0,2
68,177567818,0,0,1
69,177567816,0,1,1
70,177567812,0,0,1
71,177567765,0,0,1
72,177567763,0,0,1
73,177567760,0,2,1
74,177567708,0,3,2
75,177567704,0,0,1
76,177567702,0,1,2
77,177567628,1,0,3
78,177567626,1,0,3
79,177567622,1,0,3
80,177567602,0,2,1
81,177567528,0,0,1
82,177567520,0,0,1
83,177566405,0,1,2
84,177566404,0,,2
85,177566403,0,0,2
86,177563450,0,1,1
87,177563446,0,1,2
88,177563442,0,0,2
89,177561831,0,0,1
90,177561829,0,1,1
91,177561420,0,1,2
92,177561418,0,0,1
93,177561417,0,0,1
94,177561414,0,1,1
95,177561411,0,2,1
96,177561229,0,0,1
97,177561227,0,0,1
98,177561224,0,0,1
99,177561222,0,0,1
100,177561219,0,0,1
101,177561218,0,0,1
102,177561208,0,1,2
103,177561206,0,1,2
104,177561204,0,1,1
105,177561190,0,1,1
106,177561187,0,1,1
107,177561186,0,0,2
108,177561185,0,1,2
109,177561184,0,0,2
110,177561174,0,0,1
111,177561173,0,0,1
112,177561168,0,3,2
113,177561167,0,0,2
114,177561163,0,1,2
115,177561161,0,1,1
116,177561157,0,1,1
117,177561153,0,1,1
