,id,cari,mig,sex,age,fam_size,rural_urban
0,177681082,2,0,Woman,56,3,Urban
1,177681079,1,1,Man,22,3,Urban
2,177681078,2,1,Woman,57,4,Urban
3,177680856,2,0,Woman,21,5,Urban
4,177680851,1,0,Woman,33,3,Urban
5,177680848,1,0,Woman,42,4,Urban
6,177680827,1,0,Man,78,1,Urban
7,177680770,1,0,Woman,55,3,Urban
8,177680764,1,2,Woman,52,3,Urban
9,177680761,1,0,Woman,23,5,Urban
10,177680758,1,0,Man,63,3,Urban
11,177680717,2,1,Woman,60,3,Urban
12,177680714,1,1,Man,54,5,Urban
13,177680708,2,0,Woman,44,5,Urban
14,177680706,1,0,Woman,76,2,Urban
15,177590228,1,0,Man,60,6,Rural
16,177590225,1,0,Woman,65,4,Rural
17,177590224,2,0,Woman,59,4,Rural
18,177590221,2,1,Man,42,6,Rural
19,177572662,3,0,Woman,77,0,Urban
20,177572661,1,0,Woman,54,7,Urban
21,177572660,1,1,Woman,36,6,Urban
22,177572659,1,0,Woman,41,5,Urban
23,177572657,2,1,Man,25,4,Urban
24,177572593,1,1,Woman,71,4,Rural
25,177572591,2,1,Man,60,2,Urban
26,177571310,2,0,Woman,70,3,Urban
27,177571307,2,0,Woman,56,6,Urban
28,177571306,2,2,Man,60,1,Urban
29,177571305,1,1,Woman,64,5,Urban
30,177571299,2,2,Man,70,4,Urban
31,177571287,2,1,Man,25,4,Urban
32,177571284,2,1,Woman,51,5,Urban
33,177571127,1,0,Woman,60,4,Urban
34,177571124,2,0,Woman,71,2,Urban
35,177571122,1,0,Man,35,3,Urban
36,177570884,1,0,Woman,87,4,Urban
37,177570883,1,0,Woman,74,5,Urban
38,177568537,1,0,Woman,50,3,Urban
39,177568536,2,1,Woman,25,2,Urban
40,177568535,2,1,Man,42,1,Urban
41,177568534,1,1,Woman,50,3,Urban
42,177568509,1,1,Woman,18,3,Urban
43,177568508,1,0,Woman,61,1,Rural
44,177568504,1,1,Woman,42,4,Urban
45,177568503,1,0,Woman,68,1,Urban
46,177568496,1,0,Man,68,0,Urban
47,177568494,1,0,Man,61,2,Urban
48,177568492,1,1,Woman,57,3,Urban
49,177568489,2,0,Woman,44,4,Urban
50,177568377,2,0,Man,73,1,Urban
51,177568375,2,2,Woman,40,5,Urban
52,177568373,1,1,Woman,23,5,Urban
53,177568371,2,0,Woman,34,2,Urban
54,177568367,2,1,Woman,50,3,Urban
55,177568161,1,1,Woman,29,6,Rural
56,177568159,1,0,Woman,67,3,Urban
57,177568156,1,0,Woman,40,5,Urban
58,177567926,1,0,Woman,66,4,Urban
59,177567924,1,0,Man,80,7,Urban
60,177567918,1,1,Man,31,7,Urban
61,177567904,1,1,Woman,48,4,Urban
62,177567901,2,1,Man,39,4,Urban
63,177567896,2,0,Woman,37,6,Urban
64,177567895,2,0,Woman,50,5,Urban
65,177567822,1,0,Woman,55,5,Urban
66,177567820,2,0,Woman,71,5,Urban
67,177567819,2,0,Woman,72,2,Urban
68,177567818,1,0,Woman,63,5,Urban
69,177567816,1,1,Woman,57,4,Urban
70,177567812,1,0,Woman,63,3,Urban
71,177567765,1,0,Man,59,7,Urban
72,177567763,1,0,Woman,65,2,Urban
73,177567760,1,1,Woman,22,4,Urban
74,177567708,2,1,Woman,64,5,Urban
75,177567704,1,0,Woman,60,2,Urban
76,177567702,2,1,Man,31,2,Urban
77,177567628,3,0,Man,46,2,Urban
78,177567626,3,0,Woman,57,5,Urban
79,177567622,3,0,Man,25,5,Urban
80,177567602,1,1,Woman,32,3,Urban
81,177567528,1,0,Woman,62,4,Urban
82,177567520,1,0,Woman,30,4,Urban
83,177566405,2,1,Woman,52,5,Urban
84,177566404,2,2,Woman,40,5,Urban
85,177566403,2,0,Woman,86,1,Rural
86,177563450,1,1,Woman,73,4,Urban
87,177563446,2,1,Woman,70,6,Urban
88,177563442,2,0,Woman,38,4,Urban
89,177561831,1,0,Man,73,4,Urban
90,177561829,1,1,Man,46,5,Urban
91,177561420,2,1,Woman,45,2,Urban
92,177561418,1,0,Man,67,3,Urban
93,177561417,1,0,Woman,29,3,Urban
94,177561414,1,1,Woman,34,4,Urban
95,177561411,1,1,Woman,58,4,Urban
96,177561229,1,0,Woman,59,2,Urban
97,177561227,1,0,Man,64,2,Urban
98,177561224,1,0,Man,79,2,Urban
99,177561222,1,0,Woman,32,5,Urban
100,177561219,1,0,Woman,83,2,Urban
101,177561218,1,0,Woman,65,4,Urban
102,177561208,2,1,Man,40,5,Urban
103,177561206,2,1,Woman,57,3,Urban
104,177561204,1,1,Woman,30,5,Urban
105,177561190,1,1,Woman,51,4,Urban
106,177561187,1,1,Woman,40,3,Urban
107,177561186,2,0,Woman,56,2,Urban
108,177561185,2,1,Woman,60,5,Urban
109,177561184,2,0,Woman,83,1,Urban
110,177561174,1,0,Man,44,5,Urban
111,177561173,1,0,Woman,47,4,Urban
112,177561168,2,1,Man,19,5,Urban
113,177561167,2,0,Woman,70,4,Urban
114,177561163,2,1,Man,61,5,Urban
115,177561161,1,1,Woman,67,1,Urban
116,177561157,1,1,Man,64,8,Urban
117,177561153,1,1,Woman,30,5,Urban
118,177561097,1,0,Woman,74,2,Urban
119,177561092,1,1,Woman,31,6,Urban
120,177561090,1,0,Woman,64,4,Urban
121,177561085,1,0,Man,58,2,Urban
122,177561084,2,1,Woman,45,4,Urban
123,177561078,1,1,Man,23,5,Urban
124,177561056,1,1,Man,39,4,Urban
125,177561029,1,1,Woman,64,1,Urban
126,177561001,1,0,Man,69,6,Urban
127,177560978,1,1,Man,42,5,Urban
128,177560882,1,0,Man,67,6,Urban
129,177560881,1,1,Woman,58,5,Urban
130,177570958,1,0,Woman,60,5,Urban
131,177570960,3,1,Woman,68,3,Urban
132,177570822,1,0,Woman,39,6,Urban
133,177570823,1,0,Woman,45,5,Urban
134,177570821,1,0,Man,45,7,Urban
135,177570808,2,1,Woman,61,2,Urban
136,177570804,1,0,Woman,57,4,Urban
137,177571009,2,0,Woman,82,8,Urban
138,177571010,2,0,Woman,27,3,Urban
139,177571312,1,0,Woman,47,4,Urban
140,177571303,2,2,Woman,50,5,Urban
141,177571301,1,0,Woman,64,2,Urban
142,177571297,1,1,Woman,62,4,Urban
143,177571285,1,0,Woman,69,8,Rural
144,177571283,2,1,Woman,49,3,Rural
145,176674263,2,0,Woman,58,2,Rural
