country,neighborhood,rural_urban,sex,age,family_type,family_size,mig_int_global,mig_plan_global,mig_prep_global,mig_int_dom,mig_plan_dom,mig_prep_dom,ppl_mig_num_5y,currency,exp_monthly_food,income_exp_month_food,income_month_avg,deposit_currency,monthly_income,CARI
GT,San juan ermita,2,1,40,2,2,1,0.0,,0,,,0,3,800,4,1,3.0,5000.0,1
GT,Barrio canton zona 8,2,1,52,2,3,1,0.0,,0,,,0,3,500,3,1,3.0,2500.0,1
GT,San juan ermita,2,1,48,2,3,1,0.0,,1,0.0,,0,3,500,5,1,3.0,1500.0,1
GT,San juan la ermita,2,1,26,5,7,1,0.0,,1,0.0,,0,3,1200,2,1,3.0,2800.0,1
GT,Aldea Rancho Bojon,1,1,64,2,4,1,0.0,,1,99.0,,0,3,600,1,0,,,1
SLV,El congo,1,1,24,1,4,1,0.0,,0,,,0,1,100,4,99,,,1
HND,Higuerito central,2,2,53,3,3,1,0.0,,0,,,0,2,6000,2,1,2.0,10000.0,1
HND,Repartos del pedregal,2,1,21,9,2,1,0.0,,1,0.0,,1,2,2000,2,0,,,1
GT,MONAJIL,1,1,51,2,5,1,1.0,0.0,1,1.0,0.0,1,3,2400,1,1,3.0,7500.0,1
GT,MONAJIL,1,1,18,1,5,1,0.0,,0,,,1,3,1600,1,0,,,1
GT,MONAJIL,1,1,23,2,5,1,1.0,1.0,1,1.0,1.0,1,3,300,2,0,,,1
GT,MONAJIL,1,1,17,1,5,1,0.0,,1,1.0,0.0,0,3,800,1,1,3.0,4800.0,1
GT,MONAJIL,1,1,29,1,4,1,0.0,,0,,,0,3,400,2,1,3.0,2000.0,1
HND,Vias del rio Búfalo,2,1,63,1,4,1,0.0,,0,,,0,2,3000,1,0,,,1
HND,La Bomba,2,1,19,2,4,1,0.0,,1,0.0,,1,2,4000,2,0,,,1
HND,Barrio los laureles,1,1,21,2,2,1,1.0,0.0,0,,,0,2,600,5,0,,,1
HND,Fe y Esperanza,2,1,62,2,2,1,0.0,,1,0.0,,0,2,6000,4,1,2.0,7000.0,1
HND,Fe Esperanza,2,2,43,1,6,1,1.0,0.0,1,1.0,0.0,0,2,8000,4,0,,,1
HND,Bario los laubreles,1,1,32,1,4,1,0.0,,1,0.0,,1,2,2400,2,0,,,1
HND,Las flores santa crus,1,2,39,1,5,1,0.0,,1,0.0,,0,2,1000,5,99,,,1
HND,Las flores santa crus,1,1,55,1,2,1,0.0,,0,,,2,2,600,2,99,,,1
HND,Las flores San cruz,1,1,60,1,5,1,0.0,,1,0.0,,0,2,2500,5,1,2.0,6000.0,1
HND,Callejas,2,1,41,1,4,1,0.0,,0,,,0,2,3000,2,0,,,1
HND,COL. SAN JOSE,1,1,21,1,2,1,0.0,,1,0.0,,1,2,1000,2,0,,,1
HND,Bajamar,1,1,31,1,6,1,0.0,,1,1.0,1.0,1,2,2500,1,1,2.0,2000.0,1
HND,Bajamar,1,2,34,1,6,1,1.0,0.0,1,0.0,,1,2,2000,2,1,2.0,9000.0,1
HND,Bajamar,1,1,28,1,4,1,1.0,1.0,1,0.0,,0,2,3000,4,1,2.0,3000.0,1
HND,Bajamar,1,1,23,1,14,1,1.0,0.0,1,1.0,0.0,3,2,1000,1,0,,,1
HND,Campana,1,1,40,1,5,1,0.0,,0,,,0,2,2000,1,1,2.0,2000.0,1
HND,Col. La canada,2,1,20,1,3,1,1.0,1.0,0,,,0,2,2500,1,99,,,1
HND,Colonia La canada,2,1,18,1,3,1,1.0,1.0,0,,,2,2,2000,1,99,,,1
HND,Bario vista hermosa,1,1,50,2,3,1,1.0,1.0,1,0.0,,0,2,2100,4,0,,,1
HND,Búfalo,2,1,40,2,4,1,1.0,0.0,1,0.0,,0,2,6000,5,1,2.0,8000.0,1
HND,Colonia barrio Jerusalén,1,1,32,1,5,1,0.0,,1,0.0,,0,2,2000,5,0,,,1
HND,La Bomba,2,1,45,2,4,1,0.0,,0,,,0,2,2000,5,0,,,1
HND,La Bomba,2,1,59,2,6,1,0.0,,1,1.0,0.0,0,2,3000,1,0,,,1
HND,Las flores san crus,1,1,51,1,2,1,0.0,,0,,,0,2,1000,5,99,,,1
HND,Las flores santa cjus,1,1,34,1,4,1,1.0,0.0,0,,,0,2,700,5,99,,,1
HND,Las flores santa crus,1,1,21,1,5,1,0.0,,0,,,0,2,700,5,99,,,1
HND,Las flores San cruz,1,1,19,1,8,1,0.0,,0,,,0,2,6000,1,99,,,1
HND,Las flores San cruz,1,2,60,1,7,1,0.0,,0,,,1,2,2500,2,0,,,1
HND,Las flores San cruz,1,1,23,1,7,1,0.0,,0,,,1,2,6000,2,1,2.0,8000.0,1
GT,CULVILLA,1,1,65,2,3,1,0.0,,0,,,1,3,200,3,1,3.0,1550.0,1
GT,El bueyero,1,1,38,1,4,1,0.0,,0,,,0,3,1000,2,1,3.0,3800.0,1
GT,Caserio las tabas,1,1,60,5,4,1,0.0,,0,,,0,3,400,2,1,3.0,1000.0,1
GT,Las tablas,1,1,25,1,4,1,0.0,,0,,,0,3,500,5,0,,,1
GT,Las tablas,1,1,61,2,2,1,1.0,0.0,0,,,0,3,500,2,1,3.0,750.0,1
GT,EL CARMEN BUXUP,1,1,18,1,5,1,0.0,,0,,,1,3,600,1,99,,,1
GT,Aldea atulapa,1,1,29,5,7,1,1.0,0.0,1,1.0,0.0,0,3,1500,5,1,3.0,3000.0,1
GT,San Jose Atulapa,1,1,87,2,1,1,1.0,1.0,1,1.0,1.0,1,3,300,2,1,3.0,700.0,1
GT,El bueyero,1,1,58,1,4,1,0.0,,1,0.0,,0,3,1200,2,1,3.0,6000.0,1
GT,Tonina,1,2,31,1,4,1,0.0,,1,0.0,,0,3,1000,2,1,3.0,2000.0,1
GT,Nueva reforma majadas,1,1,23,1,4,1,0.0,,0,,,0,3,400,2,1,3.0,2000.0,1
GT,Nueva reforma majadas,1,1,35,1,5,1,0.0,,0,,,0,3,900,2,1,3.0,4000.0,1
GT,Nueva Reforma Majadas,1,2,18,10,3,1,0.0,,0,,,1,3,1000,1,1,3.0,5000.0,1
GT,PEB'IL PAM,1,1,45,5,7,1,0.0,,0,,,2,3,1000,1,99,,,1
HND,Col. La mora,2,2,25,9,1,1,0.0,,0,,,0,2,1200,1,0,,,1
HND,Col. La mora,2,1,22,1,4,1,0.0,,0,,,0,2,8000,1,0,,,1
HND,Col. La mora,2,2,35,2,3,1,0.0,,1,0.0,,0,2,8000,1,0,,,1
HND,Col. La mora,2,2,35,8,2,1,0.0,,0,,,0,2,3500,1,0,,,1
GT,EL CARMEN BUXUP,1,1,28,5,8,1,0.0,,1,0.0,,0,3,300,1,0,,,1
GT,EL CARMEN BUXUP,1,2,15,1,4,1,1.0,1.0,1,0.0,,1,3,1400,1,0,,,1
GT,EL CARMEN BUXUP,1,1,39,2,4,1,0.0,,0,,,0,3,600,1,0,,,1
HND,El Reparto,2,2,55,1,6,1,0.0,,1,0.0,,0,2,4500,2,1,2.0,8000.0,1
HND,"El Reparto, Santa Cruz de Yojoa",2,1,56,2,6,1,0.0,,1,0.0,,0,2,4000,2,1,2.0,6000.0,1
HND,"San Pablo, Santa Cruz",2,1,45,2,1,1,0.0,,1,0.0,,0,2,6500,2,1,2.0,13000.0,1
HND,Barrio morazan,2,1,29,2,4,1,0.0,,0,,,2,2,5500,2,1,2.0,13000.0,1
HND,Barrio Morelo,2,1,34,5,6,1,99.0,,0,,,0,2,4000,5,1,2.0,10000.0,1
HND,San pablo #2,2,2,21,2,4,1,0.0,,1,0.0,,0,2,4500,2,1,2.0,13000.0,1
HND,Poder ciudadano #1,2,1,18,8,2,1,0.0,,0,,,1,2,2000,3,99,,,1
HND,El zapote San Francisco de Yojoa,1,1,59,1,4,1,0.0,,0,,,2,2,5500,2,1,2.0,1200.0,1
HND,FLORES DE ORIENTE,1,2,23,1,3,1,1.0,0.0,1,0.0,,0,2,2000,4,99,,,1
HND,El sapote san francisco d yojoa,1,2,42,1,4,1,0.0,,1,1.0,0.0,0,2,900,5,99,,,1
HND,El sapote san francisco d yojos,1,1,40,1,4,1,0.0,,0,,,2,2,30,5,99,,,1
HND,El dapote san francisco d yojoa,1,1,63,1,3,1,0.0,,0,,,0,2,700,5,99,,,1
HND,El sapote san francisco,1,1,47,1,9,1,0.0,,0,,,0,2,2500,5,99,,,1
HND,El sapote san francisco d yojoa,1,1,26,1,5,1,0.0,,0,,,0,2,30,5,99,,,1
GT,Tajumulco,2,2,56,1,4,1,1.0,1.0,1,0.0,,1,3,1500,1,1,3.0,4500.0,1
GT,Caserio los espinos,1,1,27,1,6,1,0.0,,0,,,0,3,1600,2,1,3.0,2500.0,1
GT,Aldea los Espinos,1,1,31,1,6,1,0.0,,0,,,0,3,3000,2,1,3.0,1500.0,1
GT,Aldea los espinos,1,1,29,5,3,1,0.0,,0,,,0,3,1500,1,1,3.0,1500.0,1
GT,Aldea los Espinos,1,1,29,1,4,1,0.0,,1,0.0,,1,3,1000,5,1,3.0,1000.0,1
GT,Tajumulco,2,2,37,1,7,1,0.0,,0,,,1,3,800,3,1,3.0,1800.0,1
GT,Tajumulco,2,1,28,1,4,1,0.0,,0,,,0,3,800,2,1,3.0,1800.0,1
GT,CASA GRANDE,1,1,31,5,7,1,0.0,,99,,,1,3,400,5,1,3.0,1800.0,1
GT,Aldea las lagunas,1,2,23,9,1,1,1.0,0.0,0,,,0,3,350,4,1,3.0,2000.0,1
GT,Aldra las lagunas,1,1,24,1,4,1,0.0,,1,0.0,,0,3,700,3,1,3.0,3000.0,1
HND,Colonia Infop,2,1,21,5,4,1,0.0,,0,,,0,2,6000,2,99,,,1
GT,Las Lagunas,1,1,40,1,8,1,0.0,,1,1.0,1.0,0,3,1200,2,1,3.0,1300.0,1
GT,Esquipulas,2,1,24,1,7,1,0.0,,0,,,1,3,2000,1,1,3.0,7000.0,1
HND,La carraos,1,1,33,1,3,1,1.0,0.0,1,0.0,,3,2,4000,5,0,,,1
HND,Los carraos,1,2,49,1,3,1,1.0,0.0,0,,,0,2,600,1,0,,,1
GT,QUIPAMBE,1,1,23,2,4,1,0.0,,0,,,1,3,150,2,0,,,1
GT,CASA GRANDE,2,1,30,1,6,1,99.0,,0,,,2,3,800,2,1,3.0,2000.0,1
GT,CASA GRANDE,2,2,42,1,6,1,0.0,,1,0.0,,1,3,800,2,0,,,1
HND,La Bomba,2,1,39,3,4,1,0.0,,1,0.0,,0,2,5000,5,0,,,1
HND,La Bomba,2,1,70,2,3,1,0.0,,1,0.0,,0,2,2000,3,99,,,1
GT,QUIPAMBE,1,1,54,1,3,1,1.0,0.0,1,0.0,,0,3,400,5,0,,,1
GT,Aldea bulej,1,1,20,5,8,1,0.0,,0,,,2,3,600,1,1,3.0,16000.0,1
GT,Aldea Bulej,1,2,31,1,5,1,0.0,,0,,,0,3,1000,2,1,3.0,1000.0,1
GT,El Platanar,1,1,42,1,5,1,0.0,,0,,,0,3,300,2,0,,,1
GT,Bulej,1,1,22,1,3,1,0.0,,0,,,1,3,1500,2,1,3.0,1500.0,1
GT,El Platanal,1,2,30,1,2,1,0.0,,0,,,0,3,800,4,1,3.0,4000.0,1
GT,Bulej,1,2,24,1,4,1,1.0,0.0,0,,,2,3,1000,3,1,3.0,3000.0,1
GT,Barrio san Antonio,2,2,35,1,3,1,0.0,,0,,,0,3,500,1,1,3.0,3500.0,1
GT,San antonio,2,1,24,2,7,1,0.0,,0,,,0,3,1000,1,0,,,1
GT,Zona 1,2,1,25,1,3,1,0.0,,1,0.0,,0,3,800,1,1,3.0,1000.0,1
HND,FLORES DE ORIENTE,1,1,27,2,7,1,1.0,1.0,0,,,0,2,1500,5,1,2.0,5000.0,1
GT,SAN MARTIN CUCHUMATAN,1,1,50,1,6,1,0.0,,1,0.0,,3,3,800,2,1,3.0,1200.0,1
GT,SAN MARTIN CUCHUMATAN,1,1,35,2,3,1,0.0,,0,,,0,3,2000,2,1,3.0,6000.0,1
GT,Las flores,1,1,50,1,7,1,0.0,,1,0.0,,0,3,1000,2,1,3.0,3000.0,1
GT,Las flores,1,2,20,5,6,1,0.0,,1,0.0,,1,3,800,3,0,,,1
GT,Aldea olopita,1,1,37,1,5,1,0.0,,0,,,1,3,1000,2,1,3.0,2000.0,1
GT,SAN MARTIN CUCHUMATAN,1,1,52,1,3,1,0.0,,0,,,0,3,800,2,99,,,1
GT,SAN MARTIN CUCHUMATAN,1,1,23,1,4,1,99.0,,1,1.0,0.0,1,3,1500,2,99,,,1
GT,SAN MARTIN CUCHUMATAN,1,1,63,1,2,1,0.0,,0,,,0,3,300,2,1,3.0,3700.0,1
GT,Las flores,1,2,40,1,6,1,0.0,,0,,,0,3,3000,5,1,3.0,8000.0,1
GT,Las flores,1,1,25,1,8,1,1.0,0.0,1,0.0,,1,3,1000,5,1,3.0,4000.0,1
GT,Aldea Tuiquimamel,1,2,25,1,4,1,1.0,1.0,0,,,1,3,1500,1,1,3.0,3000.0,1
HND,Rio lindo barrió el centro,2,2,25,1,4,1,0.0,,0,,,0,2,2600,5,0,,,1
HND,Peña blanca,1,2,22,1,4,1,1.0,1.0,1,1.0,1.0,0,2,7000,1,0,,,1
HND,Peña Blanca,1,1,34,2,3,1,0.0,,1,0.0,,0,2,2800,2,1,2.0,8000.0,1
HND,Peña Blanca,1,1,22,1,5,1,0.0,,0,,,0,2,4000,1,1,2.0,25000.0,1
HND,Laguama santacrus d yojoa,1,2,39,3,4,1,0.0,,0,,,0,2,4000,5,0,,,1
HND,Elsapote santacrus d yojoa,1,1,53,1,3,1,0.0,,0,,,0,2,2400,2,0,,,1
HND,"El Eden, Peña Blanca",2,1,33,2,3,1,0.0,,0,,,1,2,2500,2,1,2.0,5000.0,1
GT,Caserio los bujes,1,1,50,2,3,1,1.0,1.0,1,1.0,1.0,2,3,1200,2,99,,,1
GT,Caparja,1,1,22,2,3,1,0.0,,0,,,1,3,300,2,1,3.0,2000.0,1
GT,San Rafael Sochi,2,1,30,1,4,1,0.0,,0,,,0,3,1000,4,1,3.0,1350.0,1
GT,Aldea san Antonio Serchil,1,1,24,1,4,1,0.0,,0,,,0,3,600,2,1,3.0,800.0,1
GT,San antonio serchil,1,1,28,1,3,1,0.0,,0,,,0,3,900,3,1,3.0,1000.0,1
GT,San rafael sochi,2,2,43,1,6,1,1.0,1.0,1,1.0,1.0,1,3,1500,5,1,3.0,800.0,1
HND,La betel,1,1,21,1,2,1,1.0,1.0,0,,,0,2,4000,3,1,2.0,8000.0,1
HND,Buenos Aires,1,2,19,2,4,1,0.0,,0,,,1,2,3000,2,0,,,1
HND,Los carraos,1,1,24,2,2,1,0.0,,0,,,0,2,3000,1,0,,,1
HND,Col. Brisa del norte,1,2,20,8,2,1,0.0,,0,,,0,2,2500,1,0,,,1
HND,Col. Brisa del norte,1,1,28,1,4,1,0.0,,0,,,1,2,10000,1,0,,,1
HND,Col. Brisa del norte,1,1,22,9,1,1,0.0,,0,,,0,2,2500,1,0,,,1
HND,Col. Brisa del norte,1,1,40,4,3,1,0.0,,0,,,0,2,3500,1,0,,,1
HND,La guama Santa Cruz,1,1,52,1,6,1,0.0,,0,,,2,2,4000,1,1,2.0,7000.0,1
HND,Corinto,1,1,37,1,4,1,0.0,,0,,,0,2,5000,2,0,,,1
HND,Corinto,1,1,18,1,2,1,0.0,,1,0.0,,0,2,3000,5,0,,,1
GT,San Jacinto,2,2,55,5,8,1,0.0,,1,0.0,,3,3,3000,2,1,3.0,12000.0,1
GT,San jacinto,2,1,20,2,6,1,0.0,,0,,,2,3,3000,1,1,3.0,5000.0,1
GT,San Jacinto,2,2,50,1,5,1,0.0,,0,,,0,3,1000,2,1,3.0,6000.0,1
HND,Corinto,1,1,27,1,3,1,0.0,,1,0.0,,1,2,3000,1,1,2.0,16000.0,1
HND,Poder ciudadano #1,2,1,22,4,3,1,0.0,,0,,,1,2,4000,2,99,,,1
GT,Aldea Tzala Chiquito,1,2,62,5,7,1,0.0,,0,,,3,3,400,1,1,3.0,2000.0,1
GT,Aldea Tzala Chiquito,1,2,27,4,5,1,0.0,,1,1.0,0.0,0,2,600,1,1,3.0,2400.0,1
GT,Quixal,1,2,49,5,8,1,0.0,,0,,,0,3,1000,1,1,3.0,1800.0,1
GT,Tzalá Chiquito,1,2,28,4,9,1,0.0,,0,,,0,3,700,1,0,,,1
HND,Macro albergue,1,2,29,1,6,1,0.0,,1,0.0,,0,2,0,3,1,2.0,2500.0,1
HND,Corinto,1,1,50,1,2,1,0.0,,1,0.0,,1,2,3500,2,0,,,1
HND,Arenal,2,1,37,1,5,1,1.0,0.0,0,,,1,2,4000,1,1,2.0,20000.0,1
HND,Tegucigalpita,1,1,35,2,4,1,0.0,,0,,,0,2,2000,2,0,,,1
HND,La Ceibita Chamelecon,2,1,56,2,1,1,1.0,1.0,1,1.0,1.0,0,2,1000,1,1,2.0,4000.0,1
HND,Arenal,2,1,22,1,3,1,1.0,0.0,0,,,1,2,3000,1,1,2.0,8000.0,1
HND,Arenal,2,1,58,5,3,1,0.0,,1,0.0,,0,2,800,99,99,,,1
SLV,Barrio el calvario,1,2,26,5,7,1,0.0,,0,,,0,1,50,1,99,,,1
SLV,Barrio el calvario,2,1,24,5,6,1,0.0,,0,,,0,3,50,1,99,,,1
SLV,Barrio elcalvario,2,1,36,9,1,1,1.0,0.0,1,0.0,,0,1,250,5,1,1.0,100.0,1
SLV,Barrio el Calvario,2,1,18,2,12,1,0.0,,1,1.0,1.0,1,1,200,1,0,,,1
SLV,Barrio,2,1,30,1,3,1,0.0,,1,1.0,0.0,2,1,130,3,0,,,1
SLV,Barrio el calvario,2,2,63,2,2,1,0.0,,0,,,0,1,100,2,0,,,1
SLV,El calvario,2,2,50,1,5,1,0.0,,0,,,0,1,100,2,0,,,1
SLV,El calvario,2,2,69,3,2,1,0.0,,1,0.0,,0,1,40,2,0,,,1
SLV,Comunidad Paniagua,1,1,56,1,6,1,0.0,,1,0.0,,4,1,150,4,1,1.0,1200.0,1
SLV,Colonia Paniagua,1,1,44,2,6,1,0.0,,0,,,0,1,100,3,1,1.0,100.0,1
SLV,Puerto Parada,2,2,17,2,8,1,0.0,,0,,,4,1,200,1,99,,,1
SLV,Paniagua,1,1,48,1,2,1,0.0,,1,0.0,,0,1,30,5,1,1.0,40.0,1
SLV,El nisperal,1,1,40,2,2,1,0.0,,0,,,0,1,60,5,1,1.0,150.0,1
SLV,Paniagua,1,2,28,3,6,1,0.0,,0,,,1,1,150,5,1,1.0,200.0,1
SLV,Puerto parada,2,1,45,9,5,1,0.0,,0,,,3,1,170,1,1,1.0,300.0,1
SLV,Canron analco,1,2,34,1,8,1,0.0,,0,,,2,1,240,2,1,1.0,300.0,1
SLV,Caserio,1,2,20,5,5,1,1.0,0.0,1,0.0,,1,1,120,3,1,1.0,300.0,1
SLV,analco,1,2,46,3,2,1,0.0,,0,,,0,1,100,1,1,1.0,150.0,1
GT,San juan ermita,2,1,72,1,4,0,,,0,,,0,3,800,5,1,3.0,1500.0,1
GT,Barrio canton  zona 8,2,1,60,1,3,0,,,0,,,0,3,300,4,1,3.0,1900.0,1
HND,"La Naranjera, Peña Blanca",2,2,73,9,1,0,,,0,,,0,2,2000,2,99,,,1
GT,Aldea canlech,1,1,24,1,6,0,,,0,,,0,3,500,1,99,,,1
HND,Comunidad,1,1,29,1,4,0,,,0,,,0,2,600,1,1,2.0,5000.0,1
HND,Comunidad,1,1,36,1,4,0,,,1,0.0,,0,2,400,1,0,,,1
GT,SIPACAPA,2,2,47,8,2,0,,,0,,,1,3,500,2,1,3.0,2500.0,1
SLV,Caserío Los Silvas,1,2,76,8,2,0,,,0,,,0,1,30,3,99,,,1
GT,MONAJIL,1,1,62,2,2,0,,,0,,,0,3,800,1,1,3.0,1500.0,1
HND,Bufalo,2,1,57,1,5,0,,,0,,,0,2,8000,1,99,,,1
HND,Bufalo,2,1,45,1,4,0,,,0,,,1,2,2000,3,99,,,1
GT,"Aldea monajil, canton central",1,1,47,1,4,0,,,0,,,2,3,1000,5,0,,,1
GT,MONAJIL,1,1,75,9,1,0,,,0,,,0,3,1600,1,0,,,1
GT,MONAJIL,1,2,30,1,3,0,,,0,,,0,3,1000,1,0,,,1
HND,COLONIA SAN JOSE,1,1,22,5,5,0,,,0,,,0,2,3000,5,99,,,1
HND,Barrio los laureles,1,1,70,2,4,0,,,0,,,0,2,2400,3,99,,,1
HND,Colonia la Graciela,1,1,31,1,8,0,,,0,,,2,2,3600,1,99,,,1
HND,Fe y Esperanza,2,1,47,2,7,0,,,1,0.0,,0,2,2800,4,1,2.0,7200.0,1
GT,LOS ARCOS,1,1,35,1,3,0,,,0,,,0,3,150,2,1,3.0,1200.0,1
HND,Cocosur,2,1,25,1,3,0,,,0,,,0,2,4000,1,0,,,1
