,id,mig_categ,cari,cari_yn,country,neighborhood,rural_urban,sex,age,fam_type,fam_size
513,176449390,0.0,3,1,El Salvador,Brisas del norte,Urban,Man,21,Biparental,2
1178,175902764,0.0,3,1,El Salvador,Canton Guachipilin,Rural,Man,50,Biparental,5
2883,174903753,0.0,3,1,El Salvador,El Calvario,Urban,Man,60,Biparental,11
2939,174895828,0.0,3,1,El Salvador,La Garrasposa,Rural,Woman,20,Biparental,3
2264,175135886,0.0,3,1,El Salvador,Los maguelles,Rural,Woman,26,Biparental,3
2840,174905119,0.0,3,1,El Salvador,Caserio,Rural,Woman,27,else,8
2906,174897956,0.0,3,1,El Salvador,Rosario ,Rural,Woman,59,Biparental,2
482,176452907,0.0,3,1,El Salvador,Cerron grande,Rural,Woman,66,Biparental,2
3396,174348434,0.0,3,1,Guatemala,Aldea Nahuatan,Rural,Man,27,Biparental,3
4063,173767227,0.0,3,1,Guatemala,Quixal,Rural,Man,31,Biparental,5
288,176631818,0.0,3,1,Guatemala,Chimolon,Rural,Man,35,Biparental,5
1770,175434207,0.0,3,1,Guatemala,San Agustin Viejo Chahal,Rural,Man,66,Biparental,4
4691,173220273,0.0,3,1,Guatemala,PEB'IL PAM,Rural,Man,69,Biparental,2
586,176201709,0.0,3,1,Guatemala,Aldea Canaan sector 3,Rural,Man,70,Biparental,8
542,176222158,0.0,3,1,Guatemala,Yalpemech,Rural,Woman,21,else,10
331,176485137,0.0,3,1,Guatemala,Aldea cooperativa,Rural,Woman,21,Biparental,8
3764,174046675,0.0,3,1,Guatemala,San jose el rodeo ,Urban,Woman,25,Biparental,4
4423,173422975,0.0,3,1,Guatemala,El platanal,Rural,Woman,31,else,6
563,176211143,0.0,3,1,Guatemala,Aldea Yalpemech,Rural,Woman,32,Biparental,5
2054,175154234,0.0,3,1,Guatemala,SACCH_N,Rural,Woman,32,Biparental,3
2152,175147881,0.0,3,1,Guatemala,Aldea Cahaboncito,Rural,Woman,33,Biparental,8
567,176211137,0.0,3,1,Guatemala,Aldea Yalpemech,Rural,Woman,35,Biparental,7
3119,174650195,0.0,3,1,Guatemala,LAS MINAS,Rural,Woman,38,Biparental,3
3776,174040879,0.0,3,1,Guatemala,SAN JUAN IXCOY,Urban,Woman,38,Biparental,8
327,176485398,0.0,3,1,Guatemala,Aldea Cooperativa Sechaj,Rural,Woman,38,Biparental,9
1836,175300966,0.0,3,1,Guatemala,Aldea las conchas,Rural,Woman,40,Biparental,7
1599,175656288,0.0,3,1,Guatemala,La Isla,Rural,Woman,41,Biparental,3
4164,173737762,0.0,3,1,Guatemala,San Rafael Soche,Rural,Woman,41,Biparental,5
4506,173410497,0.0,3,1,Guatemala,Caserio Ixmoco,Rural,Woman,44,Biparental,2
3763,174046680,0.0,3,1,Guatemala,San jos_ el rodeo,Urban,Woman,46,Biparental,0
2671,174921096,0.0,3,1,Guatemala,Colonia san jos_ la  olonia,Urban,Woman,47,Biparental,4
4410,173425677,0.0,3,1,Guatemala,El Platanar,Rural,Woman,47,Biparental,5
1410,175669004,0.0,3,1,Guatemala,Camotan,Urban,Woman,49,else,11
2601,174925491,0.0,3,1,Guatemala,San Juan Ermita,Urban,Woman,57,Biparental,4
541,176222160,0.0,3,1,Guatemala,Aldea Yepemech,Rural,Woman,58,Biparental,6
4798,173213658,0.0,3,1,Guatemala,El bueyero,Rural,Woman,66,Biparental,7
954,175934279,0.0,3,1,Guatemala,Barrio San Jos_,Urban,Woman,72,else,10
3767,174046632,0.0,3,1,Guatemala,Nuevo san Jose el Rodeo,Urban,Woman,73,Biparental,3
328,176485397,0.0,3,1,Guatemala,Aldea Cooperativa Sechaj,Rural,Woman,76,Biparental,2
619,176196575,0.0,3,1,Honduras,Caserio Agua Caliente,Rural,Man,21,Biparental,3
808,176140413,0.0,3,1,Honduras,La ermita ,Rural,Man,58,Biparental,4
1660,175641344,0.0,3,1,Honduras,El pedernal,Rural,Woman,24,Biparental,4
729,176176834,0.0,3,1,Honduras,Sabanagrande,Urban,Woman,35,Biparental,6
557,176211156,0.0,3,1,Honduras,Zambrano,Rural,Woman,38,Biparental,6
911,175936387,0.0,3,1,Honduras,Barrio san Antonio ,Rural,Woman,45,Biparental,6
4837,173199425,0.0,3,1,Honduras,Barrio la torre ,Rural,Woman,45,Biparental,6
615,176199887,0.0,4,1,Honduras,El Porvenir,Rural,Woman,46,Biparental,5
2730,174917307,0.0,3,1,Honduras,Guanijiquil,Rural,Woman,46,else,7
1379,175671860,0.0,4,1,Honduras,"Caserio, Santa Ines",Rural,Woman,60,Biparental,2
2186,175142724,0.0,3,1,Honduras,"Sulaco, Barrio San Ignacio de Loyola",Urban,Woman,65,Biparental,8
2241,175136193,0.0,3,1,Honduras,Los limones ,Rural,Woman,74,Biparental,5
617,176199885,0.0,4,1,Honduras,El pedernal,Rural,Woman,79,Biparental,2
2926,174896768,1.0,3,1,El Salvador,Caton elRosario,Rural,Man,51,Biparental,9
264,176641929,1.0,3,1,El Salvador,Caserio Santo Domingo,Rural,Woman,27,Biparental,4
254,176642108,1.0,3,1,El Salvador,Santa lucia,Rural,Woman,28,Biparental,3
3064,174658312,1.0,3,1,Guatemala,SAN SEBASTIAN COATAN,Urban,Man,30,Biparental,5
3029,174700550,1.0,3,1,Guatemala,La Trinidad,Rural,Man,42,Biparental,5
4590,173405563,1.0,3,1,Guatemala,Tajumulco,Urban,Man,60,Biparental,3
3778,174040868,1.0,3,1,Guatemala,SAN JUAN IXCOY,Urban,Woman,18,else,7
4610,173404036,1.0,3,1,Guatemala,CASA GRANDE,Urban,Woman,30,Biparental,3
1602,175656282,1.0,3,1,Guatemala,La Isla,Rural,Woman,35,Biparental,8
4254,173575263,1.0,3,1,Guatemala,Aldea Chacaj,Rural,Woman,35,Biparental,4
3757,174047527,1.0,3,1,Guatemala,San jose el rodeo,Urban,Woman,38,Biparental,7
305,176497730,1.0,3,1,Guatemala,Chirretzaaj zona 6,Urban,Woman,39,Biparental,5
4977,176212260,1.0,3,1,Guatemala,Aldea Sequixquib,Rural,Woman,44,Biparental,3
957,175934274,1.0,3,1,Guatemala,Barrio san Jos_,Urban,Woman,58,Biparental,3
1962,175284419,1.0,3,1,Honduras,La Pabellona,Rural,Man,30,Biparental,5
1229,175690301,1.0,3,1,Honduras,Col villa franca,Urban,Woman,33,Biparental,4
4625,173402735,1.0,3,1,Honduras,Colonia la paz bloque 3,Rural,Woman,48,Biparental,7
1657,175641351,1.0,4,1,Honduras,El Pedernal,Rural,Woman,49,else,6
3894,174025837,1.0,3,1,Honduras,Las Ca_as,Rural,Woman,50,Biparental,5
1404,175669186,1.0,3,1,Honduras,Dulce nombre,Rural,Woman,55,Biparental,6
1916,175291580,1.0,3,1,Honduras,"Yorito

",Urban,Woman,66,Biparental,2
1856,175294607,1.0,3,1,Honduras,R_o abajo ,Rural,Woman,68,Biparental,4
4591,173405559,2.0,3,1,Guatemala,Tajumulco,Urban,Man,24,Biparental,5
4322,173566379,2.0,3,1,Guatemala,CONCEPCION HUISTA,Urban,Woman,43,Biparental,6
2505,174954847,2.0,3,1,Guatemala,Caserio el Basurero,Rural,Woman,52,else,10
1855,175294608,3.0,3,1,Honduras,R_o abajo ,Rural,Man,24,Biparental,7
906,175937607,3.0,3,1,Honduras,El pedernal,Rural,Man,27,Biparental,5
2437,175101963,3.0,3,1,Honduras,Bajamar,Rural,Woman,28,Biparental,3
