country,neighborhood,rural_urban,sex,age,family_type,family_size,mig_int_global,mig_plan_global,mig_prep_global,mig_int_dom,mig_plan_dom,mig_prep_dom,ppl_mig_num_5y,currency,exp_monthly_food,income_exp_month_food,income_month_avg,deposit_currency,monthly_income,CARI
GT,Aldea tuiquimamel,1,1,30,4,6,0,,,99,,,0,3,50,5,99,,,3
GT,Tajumulco,2,1,69,2,2,0,,,0,,,1,3,300,5,1,3,500,3
SLV,Ataco,2,2,50,2,7,0,,,0,,,0,1,300,3,1,1,250,3
HND,Luquigue,1,1,25,1,6,0,,,99,,,0,2,2000,5,1,2,2800,3
HND,Luquigue,1,1,18,3,2,0,,,99,,,0,2,3000,5,0,,,3
GT,LOS ARCOS,1,1,25,1,3,0,,,0,,,0,3,100,5,0,,,3
GT,Nueva reforma majadas,1,1,34,1,5,0,,,0,,,0,3,500,3,1,3,1000,3
GT,Nueva reforma majadas,1,1,19,1,3,0,,,1,0,,0,3,300,3,1,3,600,3
GT,Caserio Ixmoco,1,1,40,1,8,0,,,0,,,0,3,600,3,1,3,1000,3
GT,Caserio Ixmoco,1,1,42,1,7,0,,,0,,,0,3,1000,3,0,,,3
GT,Caserio Ixmoco,1,1,40,1,1,0,,,0,,,1,3,1000,1,0,,,3
GT,Caserio Ixmoco,1,1,44,2,2,0,,,0,,,0,3,800,3,1,3,1000,3
GT,El platanal,1,1,31,5,6,0,,,1,0,,1,3,1000,5,0,,,3
GT,Caserio las flores,1,1,53,1,15,0,,,1,0,,2,3,3000,4,0,,,3
GT,Caserio Las Flores,1,1,38,1,7,0,,,0,,,0,3,800,5,0,,,3
GT,Caserio las flores,1,2,34,1,6,0,,,0,,,0,3,1200,5,1,3,1500,3
GT,Caserio Las Flores,1,1,67,2,2,0,,,0,,,0,3,200,2,0,,,3
GT,CONCEPCION HUISTA,2,1,19,1,2,0,,,0,,,0,3,800,2,1,3,1200,4
GT,Aldea san Rafael soche,1,1,36,1,4,0,,,0,,,0,3,300,3,0,,,3
GT,Aldea san Rafaael soche,1,2,35,1,7,0,,,0,,,1,3,1200,5,1,3,2400,3
GT,San Rafael Soche,1,1,41,1,5,0,,,0,,,0,3,2000,5,0,,,3
GT,Aldea San Rafael Soche,1,2,41,1,5,0,,,0,,,0,3,1200,1,1,3,2500,3
GT,Quixal,1,2,31,1,5,0,,,0,,,0,3,600,5,1,3,900,3
GT,SAN JUAN IXCOY,2,1,59,1,3,0,,,0,,,0,3,450,2,0,,,3
GT,San José el Rodeo,2,1,47,1,5,0,,,0,,,0,3,800,5,0,,,3
GT,San jose el rodeo,2,1,25,1,4,0,,,0,,,0,3,1200,5,0,,,3
GT,San josé el rodeo,2,1,46,2,2,0,,,0,,,0,3,800,5,0,,,3
GT,San jose el rodeo,2,1,24,1,4,0,,,0,,,0,3,800,5,0,,,4
GT,San jose el rodeo,2,2,43,3,7,0,,,0,,,0,3,2000,1,0,,,3
SLV,Barrio la playita,2,1,60,2,4,0,,,0,,,1,1,30,5,99,,,3
GT,Aldea Nahuatan,1,2,72,1,13,0,,,0,,,0,3,1500,4,0,,,4
GT,Barrio la PLacita,1,1,41,1,6,0,,,0,,,0,3,600,5,0,,,3
SLV,El Nisperal,1,2,56,1,4,0,,,0,,,0,1,50,5,0,,,3
GT,Caserio Tzimuk,2,1,70,1,5,0,,,0,,,0,3,200,5,0,,,3
SLV,El Calvario,2,1,61,2,4,0,,,0,,,0,1,40,5,1,1,150,3
SLV,El Calvario,2,2,60,1,11,0,,,0,,,0,1,200,3,99,,,3
HND,Guanijiqui,1,1,39,4,6,0,,,0,,,0,2,600,3,0,,,3
HND,Guanijiquil,1,2,63,4,4,0,,,0,,,0,2,1500,3,0,,,3
HND,Guanijiquil,1,1,58,4,5,0,,,0,,,0,2,2000,3,0,,,3
GT,Colnia san josé la colnia,2,1,44,1,9,0,,,0,,,0,3,1600,5,1,3,3000,3
GT,San Juan Ermita,2,1,57,2,4,0,,,1,0,,0,3,200,5,1,3,200,3
SLV,Canton Lomas de Alarcon,1,1,71,2,10,0,,,0,,,0,1,140,5,99,,,3
SLV,Caserio Alarcon,1,1,16,2,3,0,,,0,,,0,1,60,1,1,1,100,3
SLV,Alarcon,1,1,46,1,4,0,,,0,,,0,1,100,99,1,1,200,3
HND,Luquigue,1,1,35,1,4,0,,,0,,,0,2,2500,5,1,2,3000,4
SLV,Los magueyes,1,1,32,1,7,0,,,0,,,0,1,50,2,0,,,3
SLV,Los magueyes,1,1,34,1,5,0,,,0,,,0,1,50,5,1,1,80,4
SLV,Los magueyes,1,1,60,1,3,0,,,0,,,0,1,50,4,99,,,3
GT,Aldea Cahaboncito,1,1,22,1,6,0,,,0,,,0,3,500,2,0,,,3
GT,Aldea Cahaboncito,1,1,33,2,8,0,,,0,,,0,3,500,4,0,,,3
GT,Aldea Cahaboncito,1,1,49,1,7,0,,,0,,,0,3,500,3,0,,,3
GT,Aldea Cahaboncito,1,1,64,2,4,0,,,0,,,0,3,200,2,0,,,3
