country,neighborhood,rural_urban,sex,age,family_type,family_size,mig_int_global,mig_plan_global,mig_prep_global,mig_int_dom,mig_plan_dom,mig_prep_dom,ppl_mig_num_5y,currency,exp_monthly_food,income_exp_month_food,income_month_avg,deposit_currency,monthly_income,CARI
GT,Aldea Sequixquib,1,1,44,2,3,1,0,,1,0,,0,3,400,99,99,,,3
GT,Aldea las  tablas,1,1,14,1,6,1,0,,0,,,2,3,1000,1,0,,,3
GT,Aldea San Rafael Soche,1,1,37,2,6,1,0,,0,,,1,3,1000,4,0,,,3
SLV,El nisperal,1,2,39,9,6,1,0,,0,,,0,1,70,5,99,,,3
SLV,Barrio la playa,2,1,23,1,5,1,0,,1,0,,0,1,300,2,1,1,250,3
SLV,Barrio la playa,2,1,27,2,3,1,0,,0,,,2,1,50,3,1,1,30,3
HND,Colonia Dionisio,2,1,52,2,1,1,0,,1,0,,1,2,600,2,1,2,8000,3
SLV,El Nisperal,1,1,49,2,4,1,0,,0,,,0,1,70,3,99,,,3
SLV,El Calvario,2,2,72,3,2,1,0,,0,,,1,1,50,3,0,,,3
SLV,El Calvario,2,1,50,2,3,1,0,,1,0,,0,1,120,5,99,,,3
GT,Colonia san José la Colonia,2,1,52,1,10,1,0,,0,,,0,3,800,5,0,,,3
GT,Zona 3,2,1,28,1,4,1,0,,1,0,,1,3,400,5,1,3,800,3
SLV,Lomas de Alarcon,1,1,44,1,6,1,0,,99,,,0,1,50,5,99,,,3
HND,El Pedernal,1,1,49,5,6,1,0,,0,,,2,2,4000,2,0,,,4
SLV,San Juan Buena Vista,1,1,48,2,2,1,0,,1,0,,0,1,84,3,1,1,100,3
SLV,San juan buena vista,1,1,31,1,5,1,0,,0,,,0,1,150,3,1,1,100,3
SLV,Canton san juan buena vista,1,1,35,1,4,1,0,,0,,,0,1,150,5,1,1,150,3
HND,Dulce nombre,1,2,51,1,4,1,0,,1,0,,0,2,1500,3,0,,,3
HND,Dulce nombre,1,1,55,2,6,1,0,,0,,,1,2,3000,4,0,,,3
SLV,San francisco Echeverria,1,1,59,1,4,1,0,,1,0,,0,1,100,5,1,1,150,3
SLV,San Francisco Echeverria,1,1,30,2,6,1,0,,0,,,1,1,50,4,99,,,3
SLV,San Francisco Echeverria,1,2,26,1,6,1,0,,0,,,1,1,50,2,1,1,200,3
HND,Sabanagrande,2,2,24,2,4,1,0,,1,0,,0,2,500,5,99,,,3
GT,Barrio San José,2,1,39,2,2,1,0,,0,,,0,3,300,4,0,,,3
SLV,Canton san pedro,1,1,36,1,4,1,0,,0,,,1,1,60,5,0,,,3
SLV,Canton san pedro,1,1,27,1,5,1,0,,0,,,0,1,80,3,99,,,3
HND,Colonia Cerro Grande,2,1,78,2,2,1,0,,1,0,,0,2,0,5,0,,,4
HND,Caserio Agua Caliente,1,2,55,3,3,1,0,,0,,,0,2,500,5,0,,,3
SLV,Cerron grande,1,1,38,1,2,1,0,,0,,,0,1,15,5,1,1,30,3
HND,Apacinigua,1,1,42,5,8,1,0,,1,0,,0,2,2500,5,99,,,3
HND,Apacinigua,1,1,45,1,5,1,0,,1,0,,1,2,1800,4,99,,,3
HND,Apasinigua,2,1,19,4,4,1,0,,0,,,0,2,1800,5,99,,,3
SLV,Santa lucia,1,1,28,2,3,1,0,,0,,,0,1,60,5,99,,,3
GT,LOS ARCOS,1,2,50,1,4,1,0,,1,0,,0,3,150,5,0,,,3
GT,Nueva Reforma Majada,1,2,41,1,7,1,0,,99,,,0,3,100,1,0,,,3
GT,Nueva reforma majada,1,1,30,1,6,1,0,,0,,,2,3,700,1,1,3,1400,3
GT,CASA GRANDE,2,1,30,2,3,1,0,,0,,,0,3,400,2,1,3,800,3
GT,Tajumulco,2,2,60,1,3,1,0,,1,1,0,0,3,200,1,1,3,800,3
GT,Ixmoco,1,1,45,1,7,1,0,,0,,,0,3,1200,2,0,,,3
GT,Caserio ixmoco,1,1,35,1,4,1,0,,0,,,0,3,200,5,1,3,600,3
GT,Ixmoco,1,1,29,1,6,1,0,,0,,,1,3,1200,4,1,3,1000,3
GT,La Trinidad,1,2,50,2,4,1,0,,1,0,,0,3,1500,5,0,,,3
GT,Las flores,1,1,23,1,9,1,0,,0,,,0,3,1200,3,1,3,1700,3
SLV,El cerrito,1,1,46,5,6,1,0,,1,0,,1,1,25,5,1,1,80,3
SLV,San marcos lempa,1,2,50,1,3,1,0,,0,,,0,1,50,3,1,1,250,3
GT,Qurtzaltepeque,2,2,47,1,2,1,0,,0,,,0,3,300,4,1,3,1500,3
GT,SAN JUAN IXCOY,2,1,18,7,7,1,0,,0,,,0,3,1000,5,99,,,3
GT,San jose el rodeo,2,1,38,1,7,1,0,,0,,,0,3,300,5,1,3,300,3
SLV,Tierra blanca,1,2,52,1,5,1,0,,1,0,,1,1,100,5,0,,,3
SLV,Barrio la playa,2,1,45,1,5,1,0,,0,,,2,1,200,2,1,1,200,3
GT,CHICOL,1,2,30,1,4,1,0,,0,,,0,3,1000,3,1,3,2500,3
GT,SAN SEBASTIAN COATAN,2,1,26,5,6,1,0,,0,,,0,3,500,2,1,3,4500,3
GT,SAN SEBASTIAN COATAN,2,2,30,1,5,1,0,,0,,,0,3,1600,2,99,,,3
GT,Caserio Tzimuk,1,1,22,5,7,1,0,,0,,,0,3,100,5,0,,,3
SLV,Caton elRosario,1,2,51,1,9,1,0,,1,0,,0,1,80,5,1,1,40,3
SLV,Palo verde,1,1,31,1,3,1,0,,0,,,0,1,50,2,99,,,3
GT,Bo. El Cerro,1,1,27,2,4,1,0,,0,,,0,3,200,1,1,3,60,3
HND,Sanjudas,1,2,43,4,5,1,0,,1,1,0,0,2,3000,3,0,,,3
SLV,Los magueyes,1,1,24,2,3,1,0,,0,,,0,1,50,2,99,,,3
HND,"Sulaco, Barrio San Ignacio de Loyola",2,1,45,1,4,1,0,,1,0,,2,2,2000,5,1,2,2000,3
HND,La Pabellona,1,2,30,1,5,1,0,,1,0,,0,2,2000,5,1,2,2000,3
HND,La Pabellona,1,1,42,1,9,1,0,,0,,,0,2,1500,5,1,2,2000,3
HND,Yorito,2,1,34,2,2,1,0,,0,,,0,2,1000,5,0,,,3
